method,features_count,feature_reduction_ratio,macro_f1,attack_recall,fpr,accuracy,model_size_bytes,bandwidth_total_bytes,gap_macro_f1_vs_baseline,bandwidth_reduction_ratio,accepted,true_flower_runtime,runtime,mode,rounds,run_id,source_summary,notes
P5 FedAvg baseline,28,0.0,0.9407415103639889,0.9474141414141414,0.06626666666666667,0.9408994708994709,48392,8710560,0.0,0.0,True,False,in_process_p5_baseline,full,30,,C:/Users/saifb/dev/qi-fl-ids-iot/experiments/qi-fl-ids-iot-final/outputs/reports/p5_grid_summary.csv,P5 in-process scientific FedAvg baseline
P8 FedAvg + QGA Flower,12,0.5714285714285714,0.9479843808395867,0.955010101010101,0.059444444444444446,0.9481269841269842,40200,7236000,0.007242870475597796,0.16928417920317407,True,True,manual,full,30,run_20260508_155659,C:/Users/saifb/dev/qi-fl-ids-iot/experiments/qi-fl-ids-iot-final/outputs/qga_fedavg_flower_l1/alpha_0.5/k3/runs/run_20260508_155659/artifacts/run_summary.json,Official full true-Flower P8 run; bandwidth formula=7236000
P8 HeteroFL + QGA,9,0.6785714285714286,0.9118787405609233,0.9834949494949495,0.16435555555555556,0.9130899470899471,142856,11076000,-0.02886276980306557,,True,False,experimental_in_process,full,30,run_20260508_112115,C:/Users/saifb/dev/qi-fl-ids-iot/experiments/qi-fl-ids-iot-final/outputs/qga_heterofl_l1/alpha_0.5/k3/latest_run_summary.json,Experimental in-process HeteroFL+QGA; not final Flower baseline
