method,clean_macro_f1,poisoned_macro_f1,delta_macro_f1,clean_attack_recall,poisoned_attack_recall,delta_attack_recall,clean_fpr,poisoned_fpr,delta_fpr,clean_accuracy,poisoned_accuracy,delta_accuracy,robustness_ratio_macro_f1,accepted
fedavg,0.9407415103639889,0.9344680692677046,-0.006273441096284249,0.9474141414141414,0.9185252525252525,-0.028888888888888853,0.06626666666666667,0.04788888888888889,-0.018377777777777778,0.9408994708994709,0.9345185185185185,-0.006380952380952376,0.9933313869674392,True
fedavg_qga,0.9479843808395867,0.939086958704671,-0.008897422134915733,0.955010101010101,0.9368484848484848,-0.018161616161616156,0.059444444444444446,0.058222222222222224,-0.0012222222222222218,0.9481269841269842,0.9391957671957673,-0.008931216931216901,0.9906143789763332,True
qifa,0.9454121205767887,0.9375599645294771,-0.007852156047311598,0.9436161616161616,0.9425454545454546,-0.0010707070707069999,0.0524,0.0676,0.015199999999999991,0.9455132275132275,0.9377142857142857,-0.007798941798941805,0.9916944622599919,True
qifa_qga,0.9471048783725642,0.9455302294225977,-0.0015746489499665062,0.9592121212121212,0.9565858585858585,-0.002626262626262643,0.06584444444444444,0.06626666666666667,0.0004222222222222266,0.9472804232804233,0.9457037037037037,-0.0015767195767195652,0.9983374080464328,True
