method,alpha,clients,attack_type,poison_rate,poisoned_clients,run_id,rounds,max_samples,run_type,scientific_use,macro_f1,attack_recall,fpr,fnr,accuracy,robustness_score,accepted
fedavg,0.5,3,label_flip,0.2,1,run_20260513_014813,30,,full,scientific,0.9344680692677046,0.9185252525252525,0.04788888888888889,0.08147474747474748,0.9345185185185185,0.7332138326136503,True
fedavg_qga,0.5,3,label_flip,0.2,1,run_20260513_014903,30,,full,scientific,0.939086958704671,0.9368484848484848,0.058222222222222224,0.06315151515151515,0.9391957671957673,0.7389535803624364,True
qifa,0.5,3,label_flip,0.2,1,run_20260513_015325,30,,full,scientific,0.9375599645294771,0.9425454545454546,0.0676,0.05745454545454545,0.9377142857142857,0.738023618628375,True
qifa_qga,0.5,3,label_flip,0.2,1,run_20260513_014922,30,,full,scientific,0.9455302294225977,0.9565858585858585,0.06626666666666667,0.04341414141414141,0.9457037037037037,0.7464875389537231,True
